Id,Text,BeginPosition,EndPosition,BeginTime,EndTime,Confidence,SpeakerConfidence,Admiration,Adoration,Aesthetic Appreciation,Amusement,Anger,Annoyance,Anxiety,Awe,Awkwardness,Boredom,Calmness,Concentration,Confusion,Contemplation,Contempt,Contentment,Craving,Determination,Disappointment,Disapproval,Disgust,Distress,Doubt,Ecstasy,Embarrassment,Empathic Pain,Enthusiasm,Entrancement,Envy,Excitement,Fear,Gratitude,Guilt,Horror,Interest,Joy,Love,Nostalgia,Pain,Pride,Realization,Relief,Romance,Sadness,Sarcasm,Satisfaction,Desire,Shame,Surprise (negative),Surprise (positive),Sympathy,Tiredness,Triumph,1,2,3,4,5,6,7,8,9,toxic,severe_toxic,obscene,threat,insult,identity_hate
unknown,I,0,1,,,,,0.001081756,0.001237547,0.003842056,0.008052452,0.007107549,0.033416439,0.089370735,0.001771434,0.231329635,0.045530289,0.161085516,0.009868331,0.40328306,0.091712892,0.020972626,0.031445492,0.003434839,0.004430945,0.030400176,0.018313445,0.005236072,0.064591773,0.126731187,0.002246447,0.022342253,0.00653413,0.00260827,0.008643066,0.001023293,0.001687439,0.03291937,0.002795766,0.018064553,0.003239388,0.0148326,0.004626387,0.003219737,0.001645388,0.0308343,0.003348975,0.044522375,0.009410403,0.004846441,0.048997577,0.023311798,0.010972291,0.004263342,0.038963817,0.03065877,0.004802662,0.005919551,0.041799996,0.003034289,0.001646407,0.002256031,0.003262442,0.009730493,0.912438571,0.042710088,0.011169869,0.009684269,0.012881755,,,,,,
unknown,was,2,5,,,,,0.002817154,0.001319176,0.009015436,0.010871014,0.00093634,0.009545694,0.006559009,0.009527956,0.013583571,0.095412858,0.308213502,0.032972641,0.149308622,0.369511962,0.015346707,0.077785887,0.003056911,0.005925083,0.009442265,0.003457075,0.000833266,0.004066675,0.035071015,0.003245231,0.001415563,0.001637461,0.009766161,0.021089153,0.001753564,0.007440125,0.001548653,0.003695624,0.00146524,0.000302218,0.056923915,0.012370985,0.000880041,0.02565854,0.002083405,0.005888341,0.132379457,0.013329563,0.001167557,0.009689948,0.012778894,0.032343965,0.000604446,0.003766604,0.008737863,0.016259927,0.001386448,0.035550635,0.011791096,0.002872184,0.004001525,0.005699981,0.014753309,0.953429163,0.012732386,0.003748642,0.003337219,0.004205428,,,,,,
unknown,Baptized,6,14,,,,,0.024071708,0.028581452,0.009004286,0.012058294,0.001354973,0.002998532,0.000842347,0.035610497,0.006049179,0.005075037,0.247167334,0.01330527,0.011331083,0.090563186,0.022131836,0.172768489,0.001595844,0.014026985,0.000800848,0.00214079,0.00090033,0.00067393,0.002415792,0.010191719,0.000775019,0.00082374,0.069473967,0.020177873,0.001321672,0.064061239,0.000449956,0.025843782,0.000925475,0.000264618,0.063239731,0.120682284,0.021844959,0.06536638,0.000421976,0.225652888,0.134135202,0.010348986,0.002945401,0.001404728,0.009406427,0.133063823,0.000643452,0.002191693,0.003069878,0.051785521,0.001076012,0.001630721,0.109032445,0.000665928,0.000577496,0.000856688,0.002310136,0.517744601,0.150950149,0.087302402,0.093643434,0.139200181,,,,,,
unknown,for,15,18,,,,,0.100920506,0.08955811,0.013270213,0.008815122,0.002305571,0.004101056,0.000994194,0.05041961,0.003649448,0.00390076,0.113286406,0.023573482,0.011645282,0.069494329,0.022041347,0.08734981,0.002965093,0.062188536,0.000705276,0.002618318,0.000731043,0.001188102,0.002356147,0.004048338,0.000475213,0.001510069,0.103939608,0.019597208,0.002484397,0.045617584,0.000735375,0.046043377,0.000702573,0.000252449,0.066744857,0.061422918,0.046412852,0.092155784,0.000782856,0.431541383,0.05692349,0.003352949,0.001459646,0.002325412,0.014078005,0.077789754,0.000255589,0.001582359,0.001694576,0.018479463,0.002561516,0.001683684,0.129154488,0.001101509,0.000987065,0.001226628,0.002859091,0.435847461,0.156957194,0.109706171,0.128065437,0.169681504,,,,,,
unknown,443,19,22,,,,,0.029918157,0.024512984,0.008550447,0.010724377,0.001403385,0.004810512,0.000930034,0.038878225,0.004810521,0.011409646,0.25388062,0.037818205,0.015033508,0.119485356,0.030332953,0.147961557,0.001242656,0.041391537,0.00094771,0.002614622,0.000878975,0.000852264,0.004146645,0.00418813,0.000671429,0.001037048,0.044465587,0.021545066,0.00164791,0.027516698,0.000608659,0.028517514,0.000720652,0.000226611,0.039186489,0.050664987,0.016023226,0.089416698,0.000568566,0.267318308,0.134008944,0.010118229,0.00142987,0.002112206,0.017180495,0.095390871,0.000229887,0.001951196,0.002286262,0.024451325,0.001540886,0.003853868,0.145454153,0.000889709,0.000677347,0.000955158,0.002795367,0.438075423,0.189421296,0.100133866,0.107621692,0.145531699,,,,,,
unknown,Dead,23,27,,,,,0.027900461,0.024313729,0.008981631,0.03712561,0.002321355,0.007300863,0.001167304,0.040563583,0.004404002,0.007801353,0.046120588,0.009029982,0.013079604,0.036789525,0.024132682,0.089915849,0.000570088,0.019886948,0.003529344,0.004094608,0.001563386,0.003634213,0.00207316,0.011579536,0.002073495,0.001579872,0.071938179,0.019279944,0.000398688,0.046339698,0.001036716,0.062051881,0.002081746,0.000840254,0.011925465,0.08649826,0.01884594,0.039690457,0.002837739,0.355694175,0.062463515,0.009363598,0.000382974,0.011158563,0.117886506,0.086955659,8.62E-05,0.004895533,0.00494145,0.01793866,0.001535892,0.018220561,0.188316867,0.042932279,0.030841371,0.031504773,0.092218973,0.204437837,0.111242168,0.049196649,0.099593535,0.116049394,,,,,,
unknown,friends.,28,36,,,,,0.003539724,0.004703966,0.004709809,0.102291279,0.040698599,0.120706983,0.004500738,0.005810959,0.047567125,0.032270614,0.024945637,0.003253759,0.030760774,0.023488475,0.145048663,0.010099153,0.001005218,0.004823813,0.06495139,0.099975981,0.057441849,0.043073911,0.007730941,0.001496153,0.031036472,0.007096535,0.007944592,0.007245144,0.001320725,0.003150356,0.00544783,0.004309628,0.012912085,0.014398664,0.005427324,0.009582247,0.008741125,0.027729956,0.045996491,0.028632345,0.035918448,0.000710433,0.000954921,0.132407025,0.611517787,0.006610922,0.000394711,0.057814978,0.032962233,0.002129943,0.004639873,0.044743173,0.008135458,0.566410244,0.226267219,0.11994455,0.068830013,0.054306418,0.007093331,0.003396699,0.003744999,0.002279827,,,,,,
unknown,This,37,41,,,,,0.002599197,0.003690784,0.004327315,0.100194931,0.042498786,0.144519046,0.005599251,0.004574798,0.072685167,0.02819298,0.017014857,0.002753279,0.04277898,0.01999807,0.125453949,0.005556054,0.000642595,0.002889655,0.093618229,0.132652506,0.072777785,0.050774366,0.009286988,0.000903929,0.055916972,0.008383321,0.005931505,0.005388317,0.000998488,0.002700782,0.006595506,0.0025841,0.017381078,0.021299908,0.005833935,0.00636067,0.007056537,0.035051093,0.044222735,0.016088236,0.044987198,0.000535671,0.000898321,0.135946929,0.489077061,0.003957422,0.000369714,0.076144293,0.059330247,0.002665693,0.005522784,0.031465828,0.004651778,0.445473492,0.293560952,0.159443527,0.081175029,0.057014674,0.002718805,0.001544943,0.001379729,0.000799087,,,,,,
unknown,in,42,44,,,,,0.003952276,0.005432176,0.006193941,0.091273904,0.034959342,0.12642552,0.004322567,0.004560542,0.072355404,0.030208508,0.023906739,0.004047171,0.059156753,0.031265564,0.120313585,0.007933903,0.001423753,0.004728389,0.07923349,0.112768032,0.045489956,0.034557391,0.011364996,0.000894322,0.041063137,0.007824144,0.007828698,0.006772704,0.001412802,0.002781435,0.004348485,0.005775871,0.017985795,0.010760167,0.009422117,0.007337708,0.0101609,0.055172522,0.031257287,0.021112008,0.045152199,0.00064913,0.001336894,0.116445065,0.52821821,0.005718553,0.000513988,0.058821145,0.037371516,0.002678626,0.005803933,0.024541933,0.00606642,0.413007975,0.235933706,0.140457436,0.092933141,0.119752742,0.013413058,0.007894146,0.008548468,0.004316481,,,,,,
unknown,conn-,45,50,,,,,0.006303478,0.00898183,0.006097607,0.126284003,0.044942655,0.135121271,0.005474044,0.008778998,0.071776137,0.018620916,0.00796053,0.002671448,0.059580602,0.017019717,0.101129532,0.004698228,0.001066013,0.003543231,0.071926266,0.110089898,0.051403333,0.038465682,0.010666271,0.001584507,0.05358265,0.004445597,0.015484873,0.007874019,0.001790112,0.008902564,0.00630736,0.004080156,0.014833546,0.01698588,0.009940237,0.012788611,0.010118634,0.041767273,0.020243075,0.027173465,0.041026257,0.00033975,0.001011077,0.074918784,0.45620352,0.004749131,0.000447638,0.06009417,0.066940151,0.006070215,0.002820176,0.015738728,0.006197517,0.432384819,0.235943317,0.132404581,0.080258764,0.144397274,0.009407646,0.005393958,0.005923554,0.002936021,,,,,,
unknown,extion,51,57,,,,,0.011996319,0.014241487,0.005936853,0.142145798,0.05181108,0.121879637,0.00287968,0.011549556,0.055100445,0.013344671,0.008722059,0.002333173,0.064529642,0.015453766,0.129721344,0.007026246,0.000632791,0.003640265,0.045638449,0.121715501,0.047033098,0.021617651,0.009039096,0.001977979,0.031605761,0.004801031,0.021005386,0.00772737,0.001686823,0.010822556,0.003146609,0.006921228,0.007930096,0.011239289,0.010647709,0.019664474,0.015420013,0.042081233,0.013604084,0.045352284,0.032581601,0.000530441,0.001057679,0.044556648,0.508995056,0.007786018,0.000441856,0.035394248,0.059562072,0.009045673,0.003546753,0.010158379,0.011503772,0.449245036,0.268852204,0.144572154,0.078494541,0.074582182,0.01111969,0.007687913,0.008632132,0.00485216,,,,,,
unknown,with,58,62,,,,,0.006886393,0.009439988,0.00513329,0.120048456,0.057022117,0.139903605,0.004298092,0.007578753,0.071995884,0.018313129,0.010483321,0.002734362,0.09505327,0.019932693,0.135531977,0.005868904,0.000906076,0.003573949,0.061778136,0.143028334,0.058178551,0.02953304,0.013134274,0.001535099,0.035409059,0.006088007,0.013512311,0.007020049,0.001746193,0.00724226,0.004325513,0.004293857,0.011074375,0.013791773,0.011740631,0.012377528,0.012856498,0.040375181,0.019053673,0.027052589,0.032803044,0.000464414,0.001379179,0.063160144,0.454350114,0.005455354,0.000673953,0.04357852,0.066193514,0.005978201,0.004291384,0.013267583,0.007294313,0.410378784,0.263582647,0.144938275,0.085307531,0.095510364,0.015509174,0.011099318,0.012771627,0.006676349,,,,,,
unknown,the,63,66,,,,,0.00759519,0.008722067,0.005266546,0.119784616,0.056322463,0.155526534,0.003471682,0.0073241,0.069662571,0.016851749,0.011829385,0.003008982,0.103181921,0.02336482,0.156263366,0.006236338,0.000771812,0.003660513,0.05966606,0.162547618,0.057386655,0.022918699,0.014928972,0.001173552,0.032566976,0.005722109,0.012733808,0.006449731,0.001842288,0.005877709,0.003319319,0.005490455,0.009921907,0.010666716,0.012870042,0.010894896,0.010959744,0.037297864,0.013835857,0.027842978,0.036169764,0.000526031,0.0011173,0.047784928,0.519930482,0.006131602,0.000539296,0.039252609,0.062185083,0.006381216,0.004395992,0.010790868,0.007616578,0.371537954,0.263679296,0.158423111,0.09908516,0.123729318,0.015373677,0.010007853,0.00987103,0.004748453,,,,,,
unknown,rest,67,71,,,,,0.006078135,0.007287477,0.005792543,0.100176416,0.076854557,0.172731251,0.003016074,0.005273493,0.052922294,0.023652222,0.015455955,0.002985343,0.050374568,0.024393646,0.235342622,0.009778497,0.001400697,0.004985906,0.068874739,0.173215255,0.084973022,0.024558555,0.009833034,0.001456611,0.028175343,0.008365678,0.010697909,0.006346719,0.002685473,0.004083593,0.002452457,0.006982714,0.012593634,0.010225762,0.008109117,0.010472191,0.011761163,0.039443363,0.024870148,0.029445376,0.033127416,0.000856916,0.001430537,0.069003195,0.592543542,0.008666461,0.000811319,0.049598314,0.035086952,0.00315019,0.006079175,0.020697089,0.010200183,0.435004801,0.249364808,0.140499309,0.087746009,0.116565458,0.014164266,0.007366252,0.007432136,0.00421874,,,,,,
