internal_id,closest_1,closest_2,closest_3
1,28214,28216,2586
2,28216,3,3232
3,30445,2,3232
4,28220,30448,3233
5,28222,28224,5263
6,28224,1087,28238
7,28227,28317,20023
8,28229,2593,28214
9,28230,28231,3944
10,28231,28232,3959
11,28233,3958,33211
12,28234,30451,13
13,3966,21204,23233
14,28236,30457,28235
15,28237,28236,140
16,28238,2350,2644
17,28239,425,30475
18,3943,8524,8927
1,2,3,4
21,29488,32777,1210
22,29497,3683,798
23,3688,23218,34601
24,27662,25513,23
25,30498,32,30505
26,7014,32842,30501
27,7017,32843,30501
28,7017,32843,527
29,30503,7019,32844
30,780,10916,26504
31,24969,30588,46
32,30505,6022,31
33,928,17364,17370
34,30509,30443,30428
35,2707,7925,2959
36,30511,2835,31
1,2,3,4
38,30514,3653,3652
39,30517,974,30437
40,30539,1464,3695
41,2365,26856,3251
42,940,976,22445
43,30386,1582,2518
44,14767,14776,30389
45,30588,31,24969
46,30591,30588,31
47,30594,2667,32
48,30597,17953,30455
49,46,30591,10916
50,30606,15738,30609
51,52,50,55
52,51,30609,50
53,30612,55,30615
54,55,30615,30612
55,30615,30612,54
56,2147,2653,3301
57,3530,3420,191
58,6879,27817,30621
1,2,3,4
60,20333,19839,19035
61,2544,33181,462
1,2,3,4
63,288,289,23068
1,2,3,4
65,688,685,26726
1,2,3,4
1,2,3,4
68,138,3431,6433
69,209,224,239
1,2,3,4
71,969,3878,22408
1,2,3,4
1,2,3,4
1,2,3,4
1,2,3,4
76,26688,22426,22427
1,2,3,4
1,2,3,4
1,2,3,4
1,2,3,4
1,2,3,4
1,2,3,4
1,2,3,4
84,1001,26697,7642
85,30493,87,1329
86,26715,277,30496
87,30493,85,5325
88,30499,26521,23209
89,760,30662,30666
90,29474,1358,6339
91,26988,27042,27133
92,2809,29476,93
93,92,2809,29476
94,3673,26495,28516
95,29477,29478,28235
96,29478,3499,26430
97,29479,28004,2845
98,7088,23490,31311
99,29481,34566,3239
100,29482,228,28363
101,29484,2646,26499
102,29486,103,1383
103,29486,102,104
104,29490,103,794
105,84,1001,26697
106,26457,147,159
107,27712,2539,747
108,19021,3913,3918
109,27743,2896,27939
110,26698,26685,967
111,3254,2368,26853
112,6833,8607,26970
113,660,6054,6081
114,4409,21414,18141
115,116,3254,5406
116,26700,121,1353
117,26700,7771,3078
118,119,29598,8134
119,118,3254,26853
120,6844,355,20844
121,26700,124,122
122,124,123,26701
123,26701,124,122
124,122,123,26701
125,2403,19216,3110
126,26746,137,281
127,26754,26747,135
1,2,3,4
1,2,3,4
1,2,3,4
1,2,3,4
1,2,3,4
133,26752,2560,877
134,100,32604,228
135,26754,127,26753
136,26756,26755,306
137,281,1011,1039
68,138,3431,6433
139,6686,16537,69
140,1160,767,22765
141,309,2158,2156
142,3510,2644,30782
143,3383,26714,1131
144,2525,2333,30633
145,151,22343,1239
146,3694,30624,149
147,159,2568,2693
148,158,1514,1532
149,2958,29609,29856
150,30624,1238,27483
151,145,34578,7283
152,27676,34584,1313
153,798,34586,1064
154,3678,3684,26371
155,30700,661,30680
156,734,3728,2385
157,1277,160,30696
148,158,1514,1532
147,159,2568,2693
160,1277,157,30692
161,5273,5631,5666
162,26542,163,1275
163,162,26542,161
164,162,26542,163
1,2,3,4
166,30485,1461,6005
167,30488,175,15098
168,30491,793,30479
169,1465,5996,5999
170,2959,26745,58
171,2652,2662,2665
172,30500,1154,1218
173,21417,21428,171
174,30502,171,2652
175,1150,30584,324
176,26655,30508,30473
177,313,30611,605
178,30611,313,30641
179,30515,8059,8078
180,30520,982,17921
181,30522,30416,983
182,30522,976,20304
183,30513,30464,30467
184,30516,942,17935
185,751,14312,12173
1,2,3,4
187,3470,26857,29498
189,3524,34424,7550
190,26540,3913,3918
191,193,311,1424
192,1163,817,821
191,193,311,1424
194,7891,25585,7081
195,270,27009,23248
196,2470,678,34586
197,836,795,29492
198,3218,8603,25576
199,1064,2471,798
200,6831,202,29345
201,25503,133,1343
202,6841,6831,26763
203,2404,7411,200
204,1112,7314,7322
205,810,848,449
206,27435,3499,26498
207,446,449,3507
208,17959,3499,27439
69,209,224,239
210,30328,19080,26544
211,2474,27683,1113
212,23265,28383,29319
213,34321,27859,25623
214,12067,11849,11439
215,6957,7085,7103
216,23266,23268,13784
217,7643,11235,23262
218,23478,11285,2945
219,26964,10743,22945
221,30648,2894,27730
222,23248,195,270
1,2,3,4
69,209,224,239
1,2,3,4
228,3710,3733,3754
229,2681,6031,25118
230,17010,3298,17001
231,27676,1313,25523
232,27730,34551,3305
233,2566,27723,27712
234,954,1167,1351
235,2302,8581,23014
236,16044,618,34286
237,28062,2926,2970
238,735,149,16054
69,209,224,239
69,209,224,239
241,15544,2651,546
242,15525,1148,15535
243,6840,26315,30534
244,30635,26661,548
245,2640,1443,30842
1,2,3,4
1,2,3,4
1,2,3,4
1,2,3,4
252,6509,7919,1279
1,2,3,4
1,2,3,4
1,2,3,4
1,2,3,4
257,258,714,31275
257,258,714,31275
259,7196,11832,18742
1,2,3,4
1,2,3,4
264,11342,25494,23243
1,2,3,4
267,6355,6526,7001
1,2,3,4
269,443,11469,23788
195,270,27009,23248
271,273,23208,3076
272,26553,274,1399
271,273,23208,3076
274,30345,272,3076
275,3223,26425,30345
276,30346,1037,13894
277,696,1400,2894
69,209,224,239
69,209,224,239
280,30348,33971,33972
137,281,1011,1039
1,2,3,4
1,2,3,4
284,14378,18565,552
1,2,3,4
1,2,3,4
1,2,3,4
63,288,289,23068
63,288,289,23068
1,2,3,4
1,2,3,4
1,2,3,4
69,209,224,239
69,209,224,239
306,26755,136,751
1,2,3,4
308,2160,21307,7282
309,141,23510,2156
310,2158,26717,3216
191,193,311,1424
