internal_id,closest_1,closest_2,closest_3
1,1180,28214,1376
2,1197,5163,16561
3,28218,1075,28174
4,30445,28220,1188
5,28222,1086,1191
6,28224,1174,28306
7,28227,30380,28147
8,28229,21216,773
9,28230,21216,2634
10,3959,21189,33212
11,28233,3958,33211
12,3449,7578,26487
13,28235,30469,3867
1,2,3,4
15,18,86,413
16,28231,20431,26458
17,1164,2943,9959
15,18,86,413
19,93,105,259
21,26535,3250,26648
22,1337,21,3508
23,2807,709,447
24,1413,1329,1429
25,35,30509,32
26,30498,7014,32842
27,30501,7017,32843
28,7017,32843,47
29,7014,32842,2391
30,30505,35,32
1,2,3,4
32,397,525,2660
33,30507,500,2623
34,726,1226,6040
35,25,30509,30
36,30511,597,3485
37,30514,26665,30382
38,30514,30428,915
39,30517,30486,30514
40,489,2612,30517
41,30564,30382,17935
42,30382,26665,940
43,30386,30519,44
44,976,30401,43
45,30585,50,22340
46,51,590,776
47,30594,17257,30501
48,150,712,1114
49,252,568,569
50,22340,30588,2627
46,51,590,776
52,30609,50,22340
53,59,589,1099
54,53,59,589
55,129,133,134
56,2441,30618,8121
57,3832,3833,23209
1,2,3,4
53,59,589,1099
60,1127,1129,2464
61,2576,30456,33326
62,11674,34488,11654
63,1338,26520,27487
64,588,23684,517
65,66,109,110
65,66,109,110
1,2,3,4
1,2,3,4
1,2,3,4
70,758,768,3078
71,106,275,464
1,2,3,4
1,2,3,4
1,2,3,4
1,2,3,4
1,2,3,4
1,2,3,4
1,2,3,4
1,2,3,4
1,2,3,4
1,2,3,4
1,2,3,4
1,2,3,4
1,2,3,4
1,2,3,4
15,18,86,413
87,95,377,424
1,2,3,4
1,2,3,4
90,26446,2808,112
1,2,3,4
92,2630,376,2352
19,93,105,259
94,12,3449,7578
95,94,2352,2809
96,419,15,18
97,2758,8180,15121
98,29481,29517,26430
99,29481,208,26676
1,2,3,4
101,29484,26627,1383
102,680,34564,3660
103,29486,104,794
104,29488,29486,103
19,93,105,259
71,106,275,464
107,760,2549,27714
108,995,29298,29282
65,66,109,110
65,66,109,110
111,6673,23070,23090
112,1397,15,18
113,6673,189,763
114,116,26700,7061
1,2,3,4
116,26700,114,763
117,25418,111,872
118,7166,11120,705
119,6003,120,16771
120,123,124,17957
121,120,26701,816
1,2,3,4
123,124,17957,34483
123,124,17957,34483
65,66,109,110
65,66,109,110
65,66,109,110
128,2526,23069,23189
55,129,133,134
130,10105,29433,17445
65,66,109,110
1,2,3,4
55,129,133,134
55,129,133,134
135,5686,28398,29841
1,2,3,4
1,2,3,4
55,129,133,134
55,129,133,134
140,7287,9268,9521
55,129,133,134
65,66,109,110
1,2,3,4
1,2,3,4
145,6919,6945,1000
146,1008,1272,7069
1,2,3,4
1,2,3,4
149,591,2380,6095
48,150,712,1114
151,1237,152,18055
152,18055,34224,27891
153,269,710,1312
154,678,196,1236
155,26706,203,200
156,154,1236,678
157,26748,892,1004
1,2,3,4
159,16406,201,30698
160,30694,161,1008
161,160,30694,228
1,2,3,4
163,386,1059,1291
164,25513,159,16406
165,23726,7286,30488
166,2663,177,30510
167,241,11018,23669
1,2,3,4
169,5687,7032,23787
170,30581,30500,30502
171,242,244,251
172,792,23700,23714
173,30502,30581,30500
174,26655,23723,170
175,23738,1140,2663
176,540,171,242
177,2663,30510,166
178,2664,30515,30599
179,791,30476,30515
180,30520,982,30419
181,5996,980,17921
182,30395,1466,26621
183,30513,30410,30428
184,30519,30567,17935
185,411,26811,2666
186,55,129,133
187,322,2405,7123
189,1259,6673,23082
190,1259,1258,17250
191,1257,3105,13120
192,1256,681,22600
193,26762,740,208
194,2722,25515,26676
195,101,27469,708
196,154,678,2471
197,29490,796,22260
198,1066,2470,23456
199,678,154,1236
200,155,26706,203
201,30698,159,16406
65,66,109,110
203,26706,831,155
204,7633,2772,26706
205,810,2355,26488
206,1297,27449,26465
1,2,3,4
208,26676,99,27437
209,441,418,208
1,2,3,4
211,1485,2743,27924
1,2,3,4
1,2,3,4
214,26292,30345,2758
215,22221,29583,11853
1,2,3,4
217,3448,7008,34437
218,2155,7084,3672
1,2,3,4
221,1269,233,231
222,272,273,1037
223,3696,3524,30651
1,2,3,4
1,2,3,4
228,23210,30643,30657
229,231,232,623
230,30659,30538,876
231,30556,1002,30640
232,231,1002,30640
233,1269,2367,30661
1,2,3,4
235,570,745,750
236,877,878,572
237,563,734,742
238,893,30661,30663
1,2,3,4
1,2,3,4
167,241,11018,23669
171,242,244,251
243,26314,6832,23496
171,242,244,251
245,167,241,11018
246,30623,26660,3465
1,2,3,4
248,2489,676,5646
171,242,244,251
49,252,568,569
1,2,3,4
254,33105,897,7496
255,3697,6067,3479
256,7994,8613,26827
257,29138,9458,11905
1,2,3,4
19,93,105,259
1,2,3,4
1,2,3,4
264,1389,2303,3385
1,2,3,4
1,2,3,4
1,2,3,4
269,710,1312,26516
270,222,272,273
1,2,3,4
222,272,273,1037
222,272,273,1037
274,3222,26421,30345
71,106,275,464
276,30346,1202,28444
277,1400,3770,377
278,3702,279,26425
279,278,3702,28475
280,23760,17122,11410
281,123,124,17957
282,429,432,696
283,23783,167,241
284,14210,167,241
1,2,3,4
171,242,244,251
1,2,3,4
288,3494,7224,8748
289,26332,34519,34525
1,2,3,4
1,2,3,4
1,2,3,4
304,2362,5571,6839
1,2,3,4
1,2,3,4
1,2,3,4
308,751,1264,1266
65,66,109,110
310,1423,876,30535
1,2,3,4
1,2,3,4
1,2,3,4
315,33105,519,3737
171,242,244,251
317,395,400,532
1,2,3,4
319,18666,18423,23695
1,2,3,4
171,242,244,251
187,322,2405,7123
323,33043,17335,6044
1,2,3,4
1,2,3,4
1,2,3,4
1,2,3,4
