internal_id,closest_1,closest_2,closest_3
1,28214,28212,11065
2,28210,28216,28182
3,30445,526,11306
4,30448,28220,7068
5,28222,2353,2927
6,16073,171,11612
7,28227,2722,28168
8,179,2768,39
9,28230,30510,2590
10,28232,28231,603
11,7217,33161,19502
12,28234,2635,30451
13,28235,30454,25652
14,28236,1404,18220
15,28237,30463,2352
16,28238,30463,28325
17,28239,28238,639
18,28239,3234,28149
19,28241,30469,23115
21,22243,18566,7938
22,8357,33575,7060
23,20490,18221,33622
1,2,3,4
25,7014,32842,403
1,2,3,4
27,26489,915,30507
28,17279,2430,978
29,9965,2777,2806
30,190,192,481
31,12637,10376,10481
32,2418,2381,811
33,30507,11073,26489
34,15294,23670,30905
35,30509,33940,22728
36,2421,612,895
37,23643,30514,17298
38,46,2400,22644
39,8,3472,179
40,926,3431,42
41,916,36,7161
42,28287,28289,28291
43,1144,28287,28289
44,2660,991,206
45,7370,1056,32829
46,15590,24961,16321
47,3531,500,2623
48,2534,691,30536
49,14139,32578,32388
50,33940,52,35
51,12160,907,3681
52,17279,2430,28
53,1252,7370,22397
54,17846,592,588
55,18220,18523,11237
56,2457,14605,18879
57,25675,14704,3727
58,1979,8158,16746
59,1121,9858,13244
60,6836,2385,33674
61,7741,23041,28117
62,11213,11478,23059
63,2446,11455,28276
64,18262,32185,275
65,2549,2545,7975
66,2921,30745,335
67,33665,20691,9747
68,32055,32724,15752
69,25486,13907,13899
70,25649,33658,314
71,30636,15294,23670
72,25439,7201,11079
73,7208,15662,16972
74,4521,73,7208
75,28168,12291,335
76,1553,866,4284
77,14041,666,29856
78,7336,7323,30625
79,26468,9131,25680
80,22588,10265,3548
81,18665,3848,22435
82,377,22960,869
83,5889,7405,7634
84,942,6972,3305
85,28168,33554,12291
86,430,13937,420
87,30496,2844,29251
88,16779,13523,16485
89,9244,20678,28412
90,92,265,34316
91,2808,29475,26798
92,90,2809,16459
93,6489,34698,27435
94,813,417,30493
95,3858,383,30457
96,16967,21148,1991
97,11430,13708,23768
98,265,34316,19081
99,29481,30517,25656
100,29482,30468,26627
101,29484,28210,2646
102,32807,1034,1313
103,7110,1218,32792
104,150,603,811
105,5327,3800,12184
106,29284,10889,33149
107,2526,748,2962
108,19605,23010,26335
109,625,1092,7036
110,22371,13018,10536
111,10741,25493,2720
112,34756,768,33353
113,29598,6825,866
114,183,122,184
115,21316,7179,22402
116,23621,12034,3719
117,7516,3735,14419
118,525,7726,8703
119,728,12001,871
120,3021,8846,11449
121,17726,20597,5706
122,183,937,114
123,33155,29531,18066
124,33398,35320,33643
125,35600,866,7566
126,7986,16577,17892
127,22823,3759,2156
128,26468,160,259
129,26969,25539,26919
130,25222,131,30913
131,130,6317,22780
132,7217,23505,16467
133,7303,32430,7287
134,33789,2511,1125
135,20618,821,23510
136,16568,11140,139
137,814,23554,23528
138,12301,30903,8001
139,16568,136,26932
140,12012,16568,136
141,17591,19384,19865
142,17784,21622,19068
143,1497,29504,2575
144,13167,138,1077
145,680,33373,10369
146,32293,12817,33628
147,30685,17361,10461
148,30686,10934,2821
149,670,115,1611
150,30687,32608,605
151,26960,11326,2466
152,2471,23727,6052
153,15054,22633,11552
154,17957,34222,1285
155,11513,29572,32803
156,2508,7533,32500
157,33740,30748,31942
158,30689,28263,26614
159,30690,16863,526
160,30691,259,3867
161,30751,17789,7072
162,18818,14284,19199
163,19068,8080,21622
164,3809,22585,26268
165,6773,11123,7249
166,22513,10461,3688
167,11589,15801,19113
168,19568,25631,28935
169,2402,32053,607
170,16920,31883,7076
171,23214,7497,31950
172,26655,33920,33463
173,20603,3797,9275
174,17856,29298,8046
175,2663,2400,22644
176,369,30898,26655
177,18047,22371,10239
178,22971,25512,11130
179,8,2768,39
180,403,361,114
181,26656,17298,602
182,30513,937,927
183,122,114,1217
184,403,114,122
1,2,3,4
1,2,3,4
1,2,3,4
189,13902,2389,6098
30,190,192,481
191,17694,954,6327
30,190,192,481
1,2,3,4
194,8406,12906,22824
1,2,3,4
196,34222,6030,1285
197,34526,3683,308
198,14930,22541,8850
199,26321,7060,34439
200,23738,36,11014
201,599,28399,601
202,3431,11511,29658
203,17957,28294,200
204,26969,32530,5666
205,28274,335,622
206,991,28286,601
207,446,3686,848
208,441,1213,209
209,1213,635,441
210,211,213,609
210,211,213,609
1,2,3,4
210,211,213,609
1,2,3,4
1,2,3,4
1,2,3,4
217,11563,23262,11920
218,217,11563,23262
1,2,3,4
221,3826,3748,23070
222,224,16519,1167
1,2,3,4
224,16519,1167,4493
1,2,3,4
228,16762,7018,30719
229,2789,1259,29538
230,7230,23851,30435
231,18098,9344,25503
232,2501,16031,7334
233,734,11783,4493
234,235,224,16519
235,734,224,16519
236,2503,8936,32458
237,3848,18665,562
238,3490,2411,3766
239,2241,22960,5228
240,34580,3108,10488
241,17591,19384,19865
242,1152,6840,30596
243,540,34308,12385
244,11177,24197,2654
245,12684,11398,1449
1,2,3,4
247,7438,12295,22607
248,6322,6331,6332
251,6025,9891,13728
252,27428,10071,5889
253,8819,9453,21424
254,21628,32588,21700
255,26622,11800,29326
256,3485,29251,32771
257,327,22932,29340
258,2400,22644,14636
259,3835,160,12086
260,855,30604,2532
262,513,11330,264
264,8322,11331,262
265,34316,16967,21148
267,7385,16104,8116
268,7673,14369,22598
269,18946,22252,22223
270,443,30333,2628
271,30369,12806,13083
272,30750,30345,2468
273,23208,26468,30345
274,18709,33615,692
275,3718,14497,18681
276,1273,3426,6400
277,734,22532,562
278,6028,12445,23011
279,845,15662,16972
280,30348,3728,7312
281,19308,8476,26797
282,17204,17205,17213
283,11915,3784,25454
284,25550,20063,34314
285,17964,7398,7307
286,30831,25417,22850
287,4276,8277,31255
288,768,33353,35515
289,23313,7753,9658
290,7167,13709,18564
291,7547,33806,17170
292,30875,14905,19023
1,2,3,4
1,2,3,4
1,2,3,4
1,2,3,4
308,7060,2157,5658
309,1126,2610,3965
310,7060,2157,28149
311,6021,720,5793
313,315,2400,22644
314,4368,32506,70
315,7884,2400,22644
316,3738,3777,6682
317,2501,16031,7334
1,2,3,4
319,1015,317,7262
1,2,3,4
321,2329,3767,8126
322,30590,20869,13356
323,30614,2414,32034
324,409,772,1436
325,716,13294,13316
326,2414,18894,12860
327,2400,22644,257
328,30593,3307,3304
329,6017,7050,3123
330,34582,242,613
331,10879,547,32238
332,8088,33840,9187
333,28271,265,34316
334,28273,30365,28272
335,622,21073,22438
336,23743,34284,6302
337,718,3436,5788
338,3942,7281,23685
339,1154,338,3942
340,28283,28282,11937
341,28284,6137,2924
342,28286,3475,28210
343,28288,33345,28287
344,28292,28293,30372
345,28295,5540,13414
346,28297,2399,361
347,1044,350,1041
348,19081,265,6160
349,1041,6160,19081
350,6160,26849,19081
351,28303,28304,35520
352,28307,28309,2577
353,9764,2032,34321
354,30644,29303,11742
355,23693,10971,682
356,26962,16759,1236
357,18066,15614,123
358,30656,33777,13414
359,15910,21361,22182
360,26622,11800,29326
361,122,1220,180
362,17553,32632,13792
363,22598,15136,16863
364,3789,25652,388
365,7787,21361,22182
366,7492,17629,2412
367,3789,779,30650
368,7293,3940,33193
369,546,6047,926
370,11716,11213,11478
371,30664,22541,27453
372,12326,15062,23190
373,29531,27435,27425
374,846,11088,29555
375,603,29326,7295
376,27431,27455,29580
377,26581,28302,25222
378,207,29517,441
379,13956,33643,13727
380,9248,4345,32742
381,543,8187,10449
382,29543,20060,3958
383,335,622,21073
384,10055,18733,8812
385,1324,7413,10495
386,19068,3686,21622
387,28168,22586,335
388,607,28274,14979
389,1137,21675,1155
390,26485,27426,28163
391,14570,18066,5510
392,207,27431,27455
393,33689,7938,8512
394,23455,32014,2442
395,4516,1576,11770
396,12807,15157,17007
397,32287,5628,12143
398,760,2555,34378
399,33782,33298,2344
400,1422,6752,7372
401,654,11835,20683
402,7213,168,19568
403,184,180,2384
404,933,17707,30929
405,20118,25491,25949
406,21675,30600,5734
407,28296,28287,28289
408,18254,8408,8667
324,409,772,1436
410,19739,19768,19748
411,2387,780,2823
1,2,3,4
413,30472,2573,6342
414,28243,26561,30475
415,28244,28178,808
416,13937,420,430
417,813,94,30493
418,414,3235,9785
419,30475,414,444
420,13937,416,86
421,1188,2144,28210
422,30478,11511,27426
423,414,5537,444
424,6340,12923,6976
425,2646,1318,26639
426,85,30484,26798
427,96,30487,1041
428,18220,18523,691
429,30490,3236,422
430,13937,86,30496
431,30490,30306,3237
432,813,30493,22215
1,2,3,4
1,2,3,4
1,2,3,4
1,2,3,4
1,2,3,4
441,208,209,635
443,269,30750,30345
444,48,419,30536
1,2,3,4
446,207,335,622
447,17919,887,926
448,29524,928,1218
449,7406,26401,26410
450,605,606,34677
451,27426,28163,26581
452,30604,32440,606
1,2,3,4
454,10849,1607,596
455,180,122,30516
456,2383,30913,30903
457,30387,7068,6981
458,618,7086,25673
459,3248,7110,705
460,30393,11408,26431
461,30396,28,30393
462,23208,28949,29808
463,26449,30402,10495
464,9553,20448,18399
465,9875,7563,32590
466,28391,25506,2532
467,33921,21367,605
468,9875,11287,13482
469,23214,25657,13736
470,1279,150,29419
471,2830,19943,826
472,30420,18152,9239
1,2,3,4
1,2,3,4
476,477,489,491
476,477,489,491
479,2602,18220,18523
1,2,3,4
30,190,192,481
1,2,3,4
1,2,3,4
484,2607,7144,7976
1,2,3,4
1,2,3,4
487,2620,32600,28885
1,2,3,4
476,477,489,491
1,2,3,4
476,477,489,491
492,2615,2768,3472
476,477,489,491
494,1230,499,2622
1,2,3,4
476,477,489,491
476,477,489,491
498,2621,2617,2768
499,2622,2617,476
500,2623,498,2621
1,2,3,4
1,2,3,4
262,513,11330,264
517,19053,21628,279
518,519,2445,2465
518,519,2445,2465
1,2,3,4
521,6824,7185,8161
522,23798,5995,13823
523,1384,7388,33674
524,1045,14137,15329
525,118,11262,33398
526,3,19504,3641
527,20784,35516,14134
528,18857,16321,19297
529,1239,895,6049
530,698,1985,6322
531,19566,16321,10265
532,6322,6331,6332
1,2,3,4
1,2,3,4
1,2,3,4
538,783,13140,12693
539,1238,2469,3124
540,5765,8038,18959
541,2567,10980,24154
542,54,588,18047
543,26622,11800,19068
544,6072,369,3789
545,1392,29385,8207
546,369,923,613
547,2480,3129,30804
548,30635,6832,26314
549,2579,2582,313
551,36,926,337
552,311,6021,18718
1,2,3,4
1,2,3,4
1,2,3,4
