internal_id,closest_1,closest_2,closest_3
1,28214,28216,1093
2,28216,28218,28201
3,28218,28220,30445
4,28220,28222,30448
5,28222,28224,1087
6,28224,28227,5
7,28227,1184,1083
8,28229,2593,1093
9,28230,10,28231
10,28232,28231,9
11,28233,21187,3958
12,28234,30451,28236
13,28235,30454,28234
14,28236,15,28235
15,28237,28236,14
16,28238,28237,28224
17,28239,28238,18
18,28239,28240,17
19,28241,30469,413
21,26514,3508,3250
22,708,26648,798
23,3680,32777,1419
24,2641,1448,1446
25,30498,933,7014
26,30498,7014,32842
27,30501,184,7017
28,32,7017,32843
29,7019,32844,30503
30,31,32,780
31,32,28,30
32,31,28,30
33,30507,30509,1437
34,3515,30847,1438
35,30509,782,26524
36,30511,596,26611
37,30514,1439,43
38,30514,183,786
39,30517,40,986
40,786,39,30517
41,786,40,183
42,30382,43,976
43,42,30382,30386
44,43,1210,1462
45,30588,46,30585
46,30591,1220,30588
47,30594,17257,2391
48,30597,781,30455
49,30600,30606,46
50,30606,782,951
51,50,52,55
52,30609,50,782
53,30612,3514,30846
54,30615,55,945
55,54,30615,945
56,3514,30846,57
57,3514,30846,4274
58,30621,57,56
59,60,3514,30846
60,62,59,2453
61,3514,30846,56
62,60,3514,30846
63,3514,30846,60
64,3514,30846,27497
65,685,26687,620
66,1613,4287,30334
67,71,1613,1610
68,1613,1601,4287
69,2049,1613,4274
70,71,17205,17907
71,70,2952,2953
72,23141,17205,19332
73,2953,2952,569
74,4269,1613,4287
75,4529,1613,4256
76,26688,26687,4284
77,26689,17654,2893
78,26690,17928,23141
79,26691,26692,4269
80,26692,26693,2862
81,26694,26693,2873
82,26695,26696,307
83,26696,32698,7991
84,26697,106,130
85,30493,426,4529
86,30496,3237,420
87,30496,800,799
88,30499,444,1485
89,19332,1077,18097
90,2808,29474,92
91,29475,2808,29474
92,2809,29476,2808
93,2809,29477,29475
94,808,26495,420
95,26521,29478,15
96,29478,27447,806
97,26520,1202,27469
98,29481,101,26430
99,29481,26499,3239
100,29482,26437,3515
101,29484,2646,26627
102,29486,26442,3239
103,29486,794,102
104,29488,3656,29486
105,2205,115,2857
106,2893,2963,4274
107,755,740,1013
108,109,629,973
109,108,973,629
110,26698,108,1170
111,189,113,965
112,813,451,811
113,965,189,109
114,21416,18141,116
115,4274,694,660
116,26700,121,117
117,116,113,111
118,705,119,27458
119,120,121,118
120,818,26701,121
121,26701,124,120
122,124,123,26701
123,124,122,26701
124,122,123,26701
125,26745,2404,626
126,26746,26747,128
127,26747,135,26734
128,26748,160,26734
129,26749,27308,26750
130,26750,26697,84
131,26751,26734,2960
132,26752,30896,6840
133,2560,2602,479
134,693,108,109
135,26754,26753,2053
136,26755,26754,2809
137,26755,2377,2809
138,26756,29862,29626
139,26757,16078,19086
140,26757,26758,2848
141,309,2156,2158
142,26758,26759,8524
143,16456,17270,19332
144,2809,29475,29477
145,1239,668,6833
146,571,870,563
147,30685,1613,4287
148,30686,5255,1276
149,146,150,670
150,146,30687,149
151,152,1237,145
152,1237,2470,151
153,798,1064,3683
154,1236,678,196
155,30688,156,46
156,155,7646,154
157,1613,1277,7069
158,30689,30690,159
159,30690,30691,158
160,30691,30692,2960
161,30692,7069,878
162,1613,4287,4274
163,4287,1613,4256
164,18034,18091,19332
165,6012,30485,372
166,3695,30848,3516
167,30488,2662,1439
168,30491,316,319
169,3695,1141,242
170,172,793,1152
171,26654,30497,30494
172,30500,170,1226
173,30502,1152,793
174,176,172,1613
175,2663,30506,30584
176,26655,30508,172
177,2663,30510,30508
178,30515,172,2664
179,790,30515,5996
180,30520,17911,982
181,30522,180,30520
182,30513,975,930
183,941,30428,38
184,942,30516,30567
185,1496,413,1462
186,26760,26759,23141
187,26760,3873,186
189,190,109,1259
190,189,1258,108
191,1258,26761,190
192,26761,1256,681
193,26762,26430,195
194,29481,99,11292
195,680,820,97
196,678,820,154
197,198,836,29492
198,796,197,152
199,1064,678,153
200,6831,202,203
201,6836,133,23287
202,200,26763,6831
203,3124,200,7633
204,203,26763,1112
205,449,810,812
206,205,806,27449
207,446,449,205
208,441,209,29517
209,441,28240,208
210,26571,19080,30327
211,2160,1485,308
212,23265,219,34463
213,210,34463,30327
214,11826,215,23258
215,11620,23250,11668
216,23268,23266,13993
217,23262,7643,11162
218,23478,2930,9655
219,212,6459,210
221,30648,1269,229
222,1263,1264,1058
223,246,1348,30654
224,1131,1167,26768
227,11919,11371,11804
228,30657,878,236
229,232,231,230
230,734,891,231
231,230,734,236
232,878,734,745
233,734,743,891
234,2952,1278,1954
235,734,884,745
236,734,891,745
237,878,734,886
238,891,734,893
239,30663,34580,1601
240,30665,34580,4274
241,546,30620,3696
242,329,544,1152
243,26314,6832,7615
244,329,1144,544
245,2948,3697,1463
246,223,30623,30651
247,441,30626,224
248,30626,1348,878
251,245,1141,1613
252,30243,6509,260
253,25614,1277,4287
254,1458,1454,5994
255,2430,47,3697
256,1069,25555,260
257,258,1145,1348
258,666,665,257
259,666,2883,159
260,25588,4287,2941
262,27477,554,3677
264,23243,27009,11318
265,28135,28261,5441
267,7005,26843,19336
268,28121,265,17906
269,443,25626,11469
270,25069,443,26849
271,30344,23208,15751
272,30345,273,26849
273,23208,30345,26849
274,30345,26421,2338
275,30345,3223,26425
276,30346,3700,26425
277,1400,30346,26425
278,3702,30347,26425
279,3704,30347,1401
280,30348,3728,1402
281,6948,21019,5925
282,25614,3042,4287
283,30482,544,30502
284,3515,30847,1613
285,4287,1613,1610
286,172,1439,1463
287,20246,5548,2852
288,360,289,3128
289,19923,17871,2004
290,14129,6062,2897
291,14129,6062,6071
292,29416,18098,18034
304,1613,4274,4315
305,752,751,304
306,696,1584,30344
307,437,643,26979
308,2160,890,30553
309,141,23501,2158
310,2158,2155,890
311,1333,26502,26646
313,30602,30611,315
314,30605,30608,315
315,30608,30611,30602
316,30611,178,793
317,11875,16513,28152
318,319,20774,6410
319,316,168,30611
320,30587,321,30584
321,30587,30584,320
322,30590,30584,326
323,1152,30614,329
324,325,326,30584
325,324,326,323
326,325,1150,30584
327,30593,328,30590
328,30593,327,30590
329,544,1152,1141
330,30617,329,26313
331,332,539,244
332,244,30620,547
333,28271,28272,336
334,28273,28272,335
335,28274,28275,28273
336,28275,335,30366
337,28277,28276,336
338,28278,28279,30367
339,28281,28280,338
340,28282,28283,30403
341,28284,28285,342
342,28286,344,352
343,349,28288,345
344,352,345,1179
345,1179,344,352
346,28297,28296,349
347,26553,26849,444
348,3964,33217,21200
349,30374,30412,351
350,352,1174,345
351,344,1177,345
352,1179,1175,1177
353,357,546,547
354,30644,355,544
355,30647,354,170
356,30650,546,353
357,353,542,26661
358,30656,2651,30848
359,2809,413,23892
360,30524,359,1462
361,30526,26662,30528
362,30528,26662,361
363,539,547,357
364,30531,544,353
365,3525,3522,1058
366,30534,172,242
367,30537,1141,170
