,Word,Appearances
0,Sept.,678
1,travling,59
2,in,104010
3,company,3297
4,with,42715
5,Elder,7546
6,[[Benjamin,697
7,Lynn,187
8,Clapp|Clapp]],37
9,on,25625
10,foot,342
11,through,5827
12,a,75654
13,rainy,186
14,day,17019
15,&amp;,79457
16,wadeing,3
17,creeks,31
18,swamps,9
19,[[Isaiah,135
20,Benton|Br]],3
21,[[Lucinda,28
22,Benton|Sister,5
23,Benton]],32
24,accompanied,425
25,us,9854
26,[[horseback|horsback]],2
27,but,16859
28,we,35926
29,all,20844
30,arived,1188
31,weary,385
32,wet,138
33,distance,1439
34,{of,36
35,the,324928
36,day},71
37,25,2497
38,miles,4743
39,September,2162
40,"10,",989
41,1836,800
42,~,22622
43,Saturday,3773
44,10,4823
45,Arose,35
46,morning,3230
47,sumwhat,10
48,ill,121
49,consequence,429
50,of,174950
51,hard,1303
52,tower,38
53,endured,38
54,previous,304
55,rode,2831
56,to,172777
57,[[Johnson,66
58,F.,4074
59,Lane|J.,8
60,F,1399
61,Lane]],50
62,attend,1157
63,counsel,483
64,Elders,3404
65,take,4497
66,into,6147
67,consideration,269
68,case,1040
69,Sister,1807
70,Benton|Bentons]],4
71,following,1712
72,is,33321
73,procedings,77
74,court,316
75,[[Calloway,15
76,"County,",36297
77,Kentucky|Calaway,2
78,County]],380
79,KY.,36
80,Sept,1214
81,10th,725
82,Minutes,782
83,[[disciplinary,2
84,council|Counsel]],4
85,held,2659
86,at,33243
87,house,3412
88,Lane.]],2
89,The,14619
90,[[Church,152
91,court|Court]],2
92,Consisted,3
93,four,957
94,it.,2239
95,W.,5558
96,Woodruff,14468
97,was,39127
98,called,5447
99,Chair,27
100,Conference,1353
101,opened,896
102,by,20386
103,reading,944
104,Law,392
105,Church,5080
106,Contained,8
107,Book,1123
108,[[Doctrine,98
109,and,122739
110,Covenants|Covenants]],2
111,Prayer,1493
112,President.,209
113,Court,244
114,appointed,1633
115,for,40586
116,trial,222
117,Benton|Lucinda,4
118,who,11261
119,had,23153
120,been,13518
121,[[cut,12
122,off|Cut,2
123,off]],10
124,illegally.,2
125,Charge,17
